cut	BPU_1	BPU_3	DE_18	DE_3	EA_41	EA_44	EA_48	EA_200	D_98	D_99	IP_43	IP_43a	BPU_20	BPU_21	BPU_22	BPU_23	BPU_28a	BPU_28b	BPU_29	BPU_7	BPU_8	BPU_3	BPU_4	BPU_1	BPU_25	BPU_26	BPU_26*	BPU_26b	DE_36	EA_93	DE_25	DE_33	DE_102	DE_105	DE_28	DE_31	DE_16	DE_29	EA_16	EA_10	EA_90	EA_8	EA_9	EA_34	EA_35	EA_22	EA_22a	EA_23	IP_33a	IP_33b	IP_33c	BPU_24	IS_91	IS_40	IS_31	IS_32	IS_33	IS_34	IS_36	IS_37	IS_39	IS_39a	IS_58	IS_20	DE_48	EA_31	IS_5	EA_48	IG_1	IG_66	DE_3	DE_99	DE_100	DE_101	DE_18	DE_98	IP_6	IP_34	IP_34a	IP_48	IP_43	IP_43a	IP_47	IP_47a	IG_22	IG_92	IG_91	IG_90
1101	566.1	505.99				0	30.68						282.38	154917	2047.55	157475	82.40	83.76	2.13	1044.58	16.34	505.99	0.93	566.10	248.34	4.45	S/I	20.97		2.28	49.34	1.00	31.5	61.2	4.78	362.93	30	35		S/I	S/I			1.61	12.13	783.84	707.65	0.07				747.35	13.15	23.13	11.79	7	9.92	4.44	5.33	17.26	65.07	33.10	0.68		12.66		0.09	29.77	8.49	SI	8.38						2.89	S/ZCH	S/ZCH	NO	0	100				SI	1704.8	29.65
1107	535.97	496.12				0							274.86	83991	1827.35	88641	80.91	85.39	3.29	1067.96	32.75	496.12	0.91	535.97	268.64	3.88	S/I	6.76		1.56	29.06	1.13	26.4	71.4	3.38	294.82	45	60		S/I	S/I			1.35	S/R	487.12	226.22	S/I				320.60	17.79	28.03	23.23	5	15.32	3.19	8.51	23.18	55.55	23.59	0.72		40.37		0.01	Comuna no costera	7.61	NO	55.38						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		29.09
2101	831.55	688.99				0	1.87						425.99	190693	1420.31	323290	54.86	93.00	2.31	1320.59	6.44	688.99	0.88	831.55	326.74	6.44	S/I	5.56		2.74	25.86	1.00	34.1	63.3	5.56	259.49	40	55		S/I	S/I			1.24	S/R	701.21	807.42	0.04				817.27	11.44	34.16	11.47	13	7.73	4.34	5.12	13.95	71.79	39.91	0.47		38.03		0.00	1.73	20.69	SI	14.12						3.35	SI	NO	SI	0	0				S/I		25.43
2201	885.45	633.01				0							273.83	126444	1926.28	130943	80.24	83.10	4.17	1023.18	12.69	633.01	0.86	885.45	553.33	S/I	S/I	S/I		2.41	32.15	S/I	S/I	S/I	7.88	281.46	S/I	S/I		S/I	S/I			0.91	S/R	700.94	585.43	0.02				745.77	10.80	40.57	15.23	5	10.29	2.77	4.97	21.86	S/I	S/I	0.60		24.31		0.00	Comuna no costera	16.45	NO	20.81						0	SI	NO	SI	0	0				S/I		28.32
3101	577.84	675.45				0							245.02	127757	1882.55	130535	84.75	86.59	5.22	1227.97	15.06	675.45	0.91	577.84	285.40	S/I	S/I	S/I		5.30	28.98	1.17	S/I	61	7.77	227.81	35	45		S/I	S/I			1.44	S/R	649.13	643.04	0.49				680.56	11.89	72.00	16.45	4	7.76	2.37	4.62	27.82	30.00	47.81	0.46		14.01		0.00	Comuna no costera	22.71	SI	27.64						0.28	NO	NO	SI	0	0				S/I		34.38
3103	601.78	781.18				0							288.62	8180	2360.04	5834	83.00	59.20	10.25	1542.16	40.59	781.18	0.57	601.78	S/I	S/I	S/I	S/I		S/I	10.85	S/I	29.2	S/I	7.11	227.60	S/I	S/I		S/I	S/I			S/I	S/R	544.17	5895.22	2.29				105.33	6.53	19.55	36.57	243	11.67	2.19	11.98	34.98	S/I	S/I	0.19		6.55		0.01	Comuna no costera	33.32	NO	24.4						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		56.45
3301	578.84	744.59				0							241.10	38100	1314.55	45008	84.11	99.36	6.93	1043.69	17.66	744.59	0.99	578.84	S/I	S/I	S/I	S/I		1.59	18.50	S/I	S/I	S/I	12.49	510.13	S/I	S/I		S/I	S/I			1.22	S/R	617.84	695.67	0.26				355.77	26.47	68.17	23.43	1	6.93	2.37	10.19	18.99	S/I	S/I	0.17		6.29		0.00	Comuna no costera	44.29	NO	52.86						0	S/ZCH	S/ZCH	NO	Sin ZT	Sin ZT				S/I		38.47
4101	731.02	696.45				0	11.19						303.18	159072	1739.03	156966	79.60	78.54	11.01	1143.00	8.61	696.45	0.89	731.02	374.05	2.51	S/I	2.41		2.61	31.64	1.13	31.7	63.06	7.54	394.29	45	50		16.72	7.47			1.01	S/R	708.50	538.23	0.07				759.38	7.54	62.10	9.46	3	4.82	2.10	8.76	23.18	54.83	49.31	0.36		5.41		0.00	9.02	11.01	NO	25.28						0.84	SI	NO	SI	0	0				S/I		25.04
4102	720.68	614.68				0	3.34						291.29	170927	2868.83	117635	80.43	55.35	4.86	1434.94	7.25	614.68	0.80	720.68	294.01	3.68	S/I	2.5		1.63	16.26	1.25	27.7	71.02	11.01	307.17	50	60		15.63	7.70			1.24	S/R	663.48	557.85	0.04				596.28	6.25	52.80	13.14	3	6.17	1.73	9.72	23.38	21.73	50.46	0.43		14.05		0.01	2.74	18.46	NO	38.32						0.22	NO	NO	SI	0	0				S/I		26.76
4301	524.84	608.93				0							275.40	76374	1009.89	74422	88.71	86.44	4.91	1135.07	11.15	608.93	0.96	524.84	371.62	S/I	S/I	S/I		1.90	11.57	S/I	S/I	S/I	13.49	306.17	S/I	S/I		S/I	S/I			1.42	17.04	550.55	841.15	0				217.04	8.51	43.92	15.53	2	6.43	1.75	21.16	23.45	S/I	S/I	0.35		8.56		0.00	Comuna no costera	8.58	SI	61.05						0.13	SI	NO	SI	0	0				SI	503.9	34.88
