cut	name	region	city	cityName
1101	Iquique	Tarapacá	1001	Iquique – Alto Hospicio
1107	Alto Hospicio	Tarapacá	1001	Iquique – Alto Hospicio
2101	Antofagasta	Antofagasta	2101	Antofagasta
2201	Calama	Antofagasta	2201	Calama
3101	Copiapó	Atacama	3001	Copiapó – Tierra Amarilla
3103	Tierra Amarilla	Atacama	3001	Copiapó – Tierra Amarilla
3301	Vallenar	Atacama	3301	Vallenar
4101	La Serena	Coquimbo	4001	La Serena – Coquimbo
4102	Coquimbo	Coquimbo	4001	La Serena – Coquimbo
4301	Ovalle	Coquimbo	4301	Ovalle
5101	Valparaíso	Valparaíso	5001	Gran Valparaíso
5102	Casablanca	Valparaíso	5001	Gran Valparaíso
5103	Concón	Valparaíso	5001	Gran Valparaíso
5105	Puchuncaví	Valparaíso	5001	Gran Valparaíso
5107	Quintero	Valparaíso	5001	Gran Valparaíso
5109	Viña del Mar	Valparaíso	5001	Gran Valparaíso
5301	Los Andes	Valparaíso	5301	Los Andes – San Esteban
5304	San Esteban	Valparaíso	5301	Los Andes – San Esteban
5501	Quillota	Valparaíso	5501	Quillota – La Calera – La Cruz – Hijuela
5502	Calera	Valparaíso	5501	Quillota – La Calera – La Cruz – Hijuela
5503	Hijuelas	Valparaíso	5501	Quillota – La Calera – La Cruz – Hijuela
5504	La Cruz	Valparaíso	5501	Quillota – La Calera – La Cruz – Hijuela
5601	San Antonio	Valparaíso	5601	San Antonio – Cartagena – Santo Domingo
5603	Cartagena	Valparaíso	5601	San Antonio – Cartagena – Santo Domingo
5606	Santo Domingo	Valparaíso	5601	San Antonio – Cartagena – Santo Domingo
5701	San Felipe	Valparaíso	5701	San Felipe
5801	Quilpué	Valparaíso	5001	Gran Valparaíso
5802	Limache	Valparaíso	5001	Gran Valparaíso
5803	Olmué	Valparaíso	5001	Gran Valparaíso
5804	Villa Alemana	Valparaíso	5001	Gran Valparaíso
6101	Rancagua	O’higgins	6001	Rancagua – Machalí
6108	Machalí	O’higgins	6001	Rancagua – Machalí
6115	Rengo	O’higgins	6115	Rengo
6301	San Fernando	O’higgins	6301	San Fernando
7101	Talca	Maule	7001	Talca – Culenar
7102	Constitución	Maule	7102	Constitución
7105	Maule	Maule	7001	Talca – Culenar
7301	Curicó	Maule	7301	Curicó – Rauco – Romeral
7305	Rauco	Maule	7301	Curicó – Rauco – Romeral
7306	Romeral	Maule	7301	Curicó – Rauco – Romeral
7401	Linares	Maule	7401	Linares
8101	Concepción	Biobío	8001	Gran Concepción
8102	Coronel	Biobío	8001	Gran Concepción
8103	Chiguayante	Biobío	8001	Gran Concepción
8105	Hualqui	Biobío	8001	Gran Concepción
8106	Lota	Biobío	8001	Gran Concepción
8107	Penco	Biobío	8001	Gran Concepción
8108	San Pedro de La Paz	Biobío	8001	Gran Concepción
8109	Santa Juana	Biobío	8001	Gran Concepción
8110	Talcahuano	Biobío	8001	Gran Concepción
8111	Tomé	Biobío	8001	Gran Concepción
8112	Hualpén	Biobío	8001	Gran Concepción
8301	Los Ángeles	Biobío	8301	Los Ángeles – Nacimiento
8306	Nacimiento	Biobío	8301	Los Ángeles – Nacimiento
9101	Temuco	La Araucanía	9001	Temuco – Padre Las Casas
9112	Padre Las Casas	La Araucanía	9001	Temuco – Padre Las Casas
9120	Villarrica	La Araucanía	9120	Villarrica
9201	Angol	La Araucanía	9201	Angol
10101	Puerto Montt	Los Lagos	10001	Puerto Montt – Puerto Varas
10109	Puerto Varas	Los Lagos	10001	Puerto Montt – Puerto Varas
10201	Castro	Los Lagos	10201	Castro
10301	Osorno	Los Lagos	10301	Osorno
11101	Coyhaique	Aysén	11101	Coyhaique
12101	Punta Arenas	Magallanes	12101	Punta Arenas
13101	Santiago	Metropolitana	13001	Gran Santiago
13102	Cerrillos	Metropolitana	13001	Gran Santiago
13103	Cerro Navia	Metropolitana	13001	Gran Santiago
13104	Conchalí	Metropolitana	13001	Gran Santiago
13105	El Bosque	Metropolitana	13001	Gran Santiago
13106	Estación Central	Metropolitana	13001	Gran Santiago
13107	Huechuraba	Metropolitana	13001	Gran Santiago
13108	Independencia	Metropolitana	13001	Gran Santiago
13109	La Cisterna	Metropolitana	13001	Gran Santiago
13110	La Florida	Metropolitana	13001	Gran Santiago
13111	La Granja	Metropolitana	13001	Gran Santiago
13112	La Pintana	Metropolitana	13001	Gran Santiago
13113	La Reina	Metropolitana	13001	Gran Santiago
13114	Las Condes	Metropolitana	13001	Gran Santiago
13115	Lo Barnechea	Metropolitana	13001	Gran Santiago
13116	Lo Espejo	Metropolitana	13001	Gran Santiago
13117	Lo Prado	Metropolitana	13001	Gran Santiago
13118	Macul	Metropolitana	13001	Gran Santiago
13119	Maipú	Metropolitana	13001	Gran Santiago
