year	compromiseName	compromiseSlug	attribute	attributeIcon	indicatorId	intent	hasOnlyCity	isPrimary	hasBreachs	warning	description
2018	Mejor acceso a servicios y equipamientos públicos básicos	service_access	Accesibilidad a áreas verdes	icon_c01_a01.svg	BPU_20	negative					Distancia a plazas públicas
2018	Mejor acceso a servicios y equipamientos públicos básicos	service_access	Accesibilidad a áreas verdes	icon_c01_a01.svg	BPU_21	positive					Superficie de plazas públicas por habitante que cumple estándar de distancia (400 metros)
2018	Mejor acceso a servicios y equipamientos públicos básicos	service_access	Accesibilidad a áreas verdes	icon_c01_a01.svg	BPU_22	negative					Distancia a parques públicos
2018	Mejor acceso a servicios y equipamientos públicos básicos	service_access	Accesibilidad a áreas verdes	icon_c01_a01.svg	BPU_23	positive					Superficie de parques públicos por habitante que cumple estándar de distancia (3000 metros)
2018	Mejor acceso a servicios y equipamientos públicos básicos	service_access	Accesibilidad a áreas verdes	icon_c01_a01.svg	BPU_28a	positive					Porcentaje de población atendida por el sistema de plazas públicas
2018	Mejor acceso a servicios y equipamientos públicos básicos	service_access	Accesibilidad a áreas verdes	icon_c01_a01.svg	BPU_28b	positive					Porcentaje de población atendida por el sistema de parques públicos
2018	Mejor acceso a servicios y equipamientos públicos básicos	service_access	Accesibilidad a áreas verdes	icon_c01_a01.svg	BPU_29	positive		1			Superficie de áreas verdes públicas por habitante
2018	Mejor acceso a servicios y equipamientos públicos básicos	service_access	Accesibilidad a salud primaria pública	icon_c01_a02.svg	BPU_7	negative					Distancia a centros de salud primaria
2018	Mejor acceso a servicios y equipamientos públicos básicos	service_access	Accesibilidad a salud primaria pública	icon_c01_a02.svg	BPU_8	positive					Cantidad de jornadas diarias completas de trabajo de médicos en salud primaria por cada 10.000 habitantes
2018	Mejor acceso a servicios y equipamientos públicos básicos	service_access	Accesibilidad educación básica	icon_c01_a03.svg	BPU_3	negative					Distancia a establecimientos de educación básica
2018	Mejor acceso a servicios y equipamientos públicos básicos	service_access	Accesibilidad educación básica	icon_c01_a03.svg	BPU_4	positive					Razón entre disponibilidad efectiva de matrículas y demanda potencial por educación básica
2018	Mejor acceso a servicios y equipamientos públicos básicos	service_access	Accesibilidad educación inicial	icon_c01_a04.svg	BPU_1	negative					Distancia a establecimientos de educación inicial
2018	Mejor acceso a movilidad sustentable	movility_access	Accesibilidad y cobertura del transporte público	icon_c02_a01.svg	BPU_25	negative		1			Distancia a paraderos de transporte público mayor
2018	Mejor acceso a movilidad sustentable	movility_access	Accesibilidad y cobertura del transporte público	icon_c02_a01.svg	BPU_26	positive					Densidad de oferta planificada de transporte público mayor en periodo punta mañana, por persona
2018	Mejor acceso a movilidad sustentable	movility_access	Accesibilidad y cobertura del transporte público	icon_c02_a01.svg	BPU_26*	positive					Densidad de la oferta real de transporte público mayor en periodo punta mañana, por persona
2018	Mejor acceso a movilidad sustentable	movility_access	Accesibilidad y cobertura del transporte público	icon_c02_a01.svg	BPU_26b	positive					Densidad de oferta planificada de transporte público menor en periodo punta mañana, por persona
2018	Mejor acceso a movilidad sustentable	movility_access	Accesibilidad y cobertura del transporte público	icon_c02_a01.svg	DE_36	positive					Porcentaje de la población dentro del área de influencia de la red de transporte público mayor
2018	Mejor acceso a movilidad sustentable	movility_access	Condiciones para la movilidad activa	icon_c02_a02.svg	EA_93	positive					Porcentaje de cobertura de la red de ciclovía sobre la red vial
2018	Mejor acceso a movilidad sustentable	movility_access	Conectividad urbana	icon_c02_a03.svg	DE_25	positive					Promedio de intersecciones relevantes cada 1,44 km²
2018	Mejor acceso a movilidad sustentable	movility_access	Congestión	icon_c02_a04.svg	DE_33	negative					Relación entre el tiempo de viaje en hora punta respecto del tiempo de viaje fuera de hora punta
2018	Mejor acceso a movilidad sustentable	movility_access	Partición modal	icon_c02_a05.svg	DE_102	positive					Partición modal del transporte público (número de viajes en transporte público respecto al número total de viajes)
2018	Mejor acceso a movilidad sustentable	movility_access	Partición modal	icon_c02_a05.svg	DE_105	positive					Partición modal del transporte sustentable (suma de viajes en transporte público, caminata y bicicleta respecto al número total de viajes)
2018	Mejor acceso a movilidad sustentable	movility_access	Seguridad vial	icon_c02_a06.svg	DE_28	negative					Número de víctimas mortales en siniestros de tránsito por cada 100.000 habitantes
2018	Mejor acceso a movilidad sustentable	movility_access	Seguridad vial	icon_c02_a06.svg	DE_31	negative					Número de víctimas lesionadas en siniestros de tránsito por cada 100.000 habitantes
2018	Mejor acceso a movilidad sustentable	movility_access	Tiempos de viaje	icon_c02_a07.svg	DE_16	negative					Tiempo de viaje en hora punta mañana
2018	Mejor acceso a movilidad sustentable	movility_access	Tiempos de viaje	icon_c02_a07.svg	DE_29	negative					Tiempo de viaje en transporte público en hora punta mañana
2018	Mejor calidad del medio ambiente urbano	ambiental_quality	Contaminación Atmosférica	icon_c03_a01.svg	EA_16	boolean		1			Cumplimiento norma anual de Material Particulado 2.5
2018	Mejor calidad del medio ambiente urbano	ambiental_quality	Contaminación por ruido	icon_c03_a02.svg	EA_10	negative					Porcentaje de personas potencialmente expuestas a niveles de ruido diurno inaceptables (Ln > 65 dBA OCDE)
2018	Mejor calidad del medio ambiente urbano	ambiental_quality	Contaminación por ruido	icon_c03_a02.svg	EA_90	negative					Porcentaje de personas potencialmente expuestas a niveles de ruido nocturno inaceptables (Ln > 55 dBA OCDE)
2018	Mejor calidad del medio ambiente urbano	ambiental_quality	Eficiencia de uso del Agua Potable	icon_c03_a03.svg	EA_8	negative					Consumo de agua potable residencial per cápita al día
2018	Mejor calidad del medio ambiente urbano	ambiental_quality	Eficiencia de uso del Agua Potable	icon_c03_a03.svg	EA_9	negative					Porcentaje de agua no facturada
2018	Mejor calidad del medio ambiente urbano	ambiental_quality	Eficiencia en la gestión de residuos	icon_c03_a04.svg	EA_34	negative					Cantidad (kg) de disposición final de residuos sólidos urbanos per cápita
2018	Mejor calidad del medio ambiente urbano	ambiental_quality	Eficiencia en la gestión de residuos	icon_c03_a04.svg	EA_35	negative					Número de microbasurales por cada 10.000 habitantes
2018	Mejor calidad del medio ambiente urbano	ambiental_quality	Eficiencia Energética	icon_c03_a05.svg	EA_22	negative					Consumo de energía eléctrica per cápita residencial
2018	Mejor calidad del medio ambiente urbano	ambiental_quality	Eficiencia Energética	icon_c03_a05.svg	EA_22a	negative					Consumo de energía eléctrica per cápita no residencial
2018	Mejor calidad del medio ambiente urbano	ambiental_quality	Eficiencia Energética	icon_c03_a05.svg	EA_23	positive					Porcentaje de aporte de energía eléctrica de origen domiciliario
2018	Mejor calidad del medio ambiente urbano	ambiental_quality	Infraestructura Ecológica	icon_c03_a06.svg	IP_33a	positive					Superficie del Continuo de Construcciones Urbanas (CCU)
2018	Mejor calidad del medio ambiente urbano	ambiental_quality	Infraestructura Ecológica	icon_c03_a06.svg	IP_33b	positive					Superficie de suelos de alto valor agrícola, según clases de suelo, próximas al CCU
2018	Mejor calidad del medio ambiente urbano	ambiental_quality	Infraestructura Ecológica	icon_c03_a06.svg	IP_33c	positive					Superficie de sitios prioritarios para la conservación próximos al CCU
2018	Mayor integración social y calidad de barrios y viviendas	living_place_integrity	Accesibilidad Digital Domiciliaria	icon_c04_a01.svg	BPU_24	positive					Tasa de conexiones residenciales fijas de internet por cada 1.000 viviendas particulares
2018	Mayor integración social y calidad de barrios y viviendas	living_place_integrity	Acceso a servicios energéticos básicos domiciliarios	icon_c04_a02.svg	IS_91	negative					Indisponibilidad de suministro eléctrico - indicador SAIDI anual
2018	Mayor integración social y calidad de barrios y viviendas	living_place_integrity	Calidad del espacio público	icon_c04_a03.svg	IS_40	positive					Porcentaje de manzanas con veredas con buena calidad de pavimento
